ENT,CVE_MUN,MUN,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,GM,LUG_NAC,LUGAR_EST,AÑO
Aguascalientes,1001,Aguascalientes,506274,6.05,27.99,6.55,3.64,3,45.65,5.65,11.47,58.36,-1.833,Muy bajo,2341,9,1990
Aguascalientes,1003,Calvillo,48440,9.56,53.65,13.89,7.21,6.6,62.33,8.85,54.34,72.01,-0.957,Bajo,1953,7,1990
Aguascalientes,1005,Jes˙s MarÌa,41092,10.3,50.73,13.14,7.91,6.36,70.05,13.67,51.47,69.7,-0.895,Bajo,1910,5,1990
Aguascalientes,1007,RincÛn de Romos,33781,9.91,43.11,21.9,7.53,6.01,63.44,13.15,49.78,75.99,-0.947,Bajo,1944,6,1990
Aguascalientes,1002,Asientos,32225,11.02,53.64,41.21,13.45,8.87,66.74,14.48,100,82.06,-0.383,Medio,1532,1,1990
Aguascalientes,1006,PabellÛn de Arteaga,26051,8.83,40.95,8.76,4.91,4.38,61.03,9.16,29.51,70.23,-1.263,Bajo,2136,8,1990
Aguascalientes,1009,Tepezal·,14809,9.06,52.49,24.17,6.55,11.05,67.3,7.49,100,80.17,-0.597,Bajo,1676,4,1990
Aguascalientes,1004,CosÌo,10247,7.83,50.99,29.3,6.59,3.69,67.65,19.42,100,82.28,-0.537,Bajo,1633,3,1990
Aguascalientes,1008,San JosÈ de Gracia,6740,7.79,46.27,49.45,11.76,14.71,66.32,5.91,100,81.77,-0.477,Medio,1601,2,1990
Baja California,2004,Tijuana,747381,4.16,22.6,5.34,14.32,30.24,45.56,7.96,2.23,34.43,-1.978,Muy bajo,2371,3,1990
Baja California,2002,Mexicali,601938,4.71,24.4,2.95,3.15,8.36,46.64,7.91,18.26,43.8,-1.979,Muy bajo,2372,4,1990
Baja California,2001,Ensenada,259979,6,26.78,7.34,14.29,13.45,42.26,8.67,23.31,47.25,-1.821,Muy bajo,2339,2,1990
Baja California,2003,Tecate,51557,5.26,26.41,9.06,21.81,27.16,45.72,10.33,21.95,42.66,-1.711,Muy bajo,2307,1,1990
Baja California Sur,3003, La Paz                                           ,160970,4.13,21.42,4.21,7.32,7.28,46.27,9.13,14.49,54.52,-1.89,Muy bajo,2356,4,1990
Baja California Sur,3001,Comond˙,74346,8.19,37.04,9.22,10.85,10.2,54.08,20.09,32.22,57.85,-1.377,Bajo,2190,1,1990
Baja California Sur,3008, Los Cabos                                        ,43920,5.29,31.33,9.87,24.35,13.4,52.44,21.97,29.53,47.55,-1.491,Bajo,2238,3,1990
Baja California Sur,3002,MulegÈ,38528,5.7,34.04,11.49,12.8,18.66,44.01,13.83,54.78,53.37,-1.485,Bajo,2237,2,1990
Campeche,4002,Campeche,173645,9.2,32.27,14.59,5.48,8.86,57.25,9.62,13.32,67.22,-1.413,Bajo,2211,9,1990
Campeche,4003,Carmen,136034,12.12,41.03,16.79,15.61,40.43,63.49,22.46,30.33,57.26,-0.959,Bajo,1954,8,1990
Campeche,4004,ChampotÛn,71836,22.75,59.56,33.76,25.38,36.5,72.03,32.73,64.96,74.44,-0.071,Medio,1256,3,1990
Campeche,4009,Esc·rcega,44496,19.37,57.42,28.46,18.2,21.69,73.75,39.2,54.31,74.53,-0.255,Medio,1423,5,1990
Campeche,4001,CalkinÌ,38883,24.77,55.4,41.73,10.12,42.2,70.35,34.19,35.2,73.11,-0.23,Medio,1407,4,1990
Campeche,4006,HopelchÈn,36271,28.8,66.05,57.46,33.19,61.21,74.62,46.62,82.95,80.2,0.603,Alto,682,1,1990
Campeche,4005,Hecelchak·n,20290,20.75,50.71,33.78,15.6,37.42,76.41,29.54,30.62,77.71,-0.284,Medio,1448,6,1990
Campeche,4007,Palizada,7162,17.69,60.03,24.27,43.66,62.55,68.19,48.47,100,78.18,0.27,Alto,971,2,1990
Campeche,4008,Tenabo,6568,22.27,55.94,33.14,16.08,22.62,78.25,21.31,21.53,83.37,-0.295,Medio,1462,7,1990
Coahuila de Zaragoza,5035,TorreÛn,464825,3.74,21.67,6.44,1.7,2.55,42.96,5.63,5.46,57.22,-1.998,Muy bajo,2377,37,1990
Coahuila de Zaragoza,5030,Saltillo,440920,4.85,22.77,7.82,3.45,5.33,47.02,4.31,4.53,58.52,-1.893,Muy bajo,2358,36,1990
Coahuila de Zaragoza,5018,Monclova,178606,3.42,19.59,3.86,2.81,4.33,49.98,3.13,0.46,45.01,-2.097,Muy bajo,2389,38,1990
Coahuila de Zaragoza,5033,San Pedro,99165,9.92,44.94,27.95,8.19,7.95,59.49,26.1,52.03,80.34,-0.798,Bajo,1833,10,1990
Coahuila de Zaragoza,5025,Piedras Negras,98185,4.4,24.78,3.68,5.32,13.21,48.92,6.29,2.04,55.29,-1.86,Muy bajo,2348,34,1990
Coahuila de Zaragoza,5017,Matamoros,86398,9,43.38,32.35,5.45,8.42,60.83,18.35,45.5,78.23,-0.884,Bajo,1903,13,1990
Coahuila de Zaragoza,5020,M˙zquiz,65863,6.01,34.91,6.13,5.64,7.22,56.89,6.55,13.83,60.76,-1.566,Bajo,2262,28,1990
Coahuila de Zaragoza,5010,Frontera,61450,4.58,25.34,5,6.98,5.3,61.15,5.82,5.26,54.31,-1.734,Muy bajo,2317,31,1990
Coahuila de Zaragoza,5002,AcuÒa,56336,4.89,29.91,6.89,12.38,11.57,53.43,10.98,5.95,62.6,-1.585,Bajo,2268,29,1990
Coahuila de Zaragoza,5009,Francisco I. Madero,50981,8.93,45.34,22.38,6.69,5.01,57.62,20.2,48.56,79.68,-0.937,Bajo,1937,16,1990
Coahuila de Zaragoza,5028,Sabinas,47030,4.59,27.28,4.55,3.63,4.47,48.36,3.16,9.49,63.16,-1.8,Muy bajo,2334,33,1990
